state,Donald Trump,Kamala Harris,mean_diff,winner,electoral_votes,win_percent_harris,win_percent_trump
**National,44.573818455482666,46.11222122094014,1.5384027654574766,Kamala Harris,0,64.97333590897031,35.026664091029694
Alabama,55.95931848969015,32.41067414288572,-23.54864434680443,Donald Trump,9,1.9644286881153978e-07,99.99999980355713
Alaska,51.54365311508427,42.99360176495801,-8.55005135012626,Donald Trump,3,1.6278151352262575,98.37218486477374
Arizona,47.17201975753605,45.25918124258215,-1.9128385149538971,Donald Trump,11,31.625050498813202,68.3749495011868
Arkansas,51.988108128398835,38.64887093610415,-13.339237192294682,Donald Trump,6,0.04267895751158139,99.95732104248842
California,33.64844434559931,54.92352340763784,21.27507906203853,Kamala Harris,54,99.99999477643829,5.223561716505287e-06
Colorado,38.95738110802671,48.27798032180304,9.320599213776333,Kamala Harris,10,99.01008825285538,0.9899117471446228
Connecticut,36.008376628081145,51.98228127618854,15.973904648107393,Kamala Harris,7,99.99674441862808,0.0032555813719192805
Delaware,36.44211659246735,53.0096649224403,16.56754832997295,Kamala Harris,3,99.99827770035465,0.0017222996453458705
District of Columbia,10.0,90.0,80.0,Kamala Harris,3,100.0,0.0
Florida,49.83747333401924,43.63288069956928,-6.204592634449966,Donald Trump,30,6.043309120000329,93.95669087999967
Georgia,47.49458966466269,45.56862214944279,-1.9259675152199023,Donald Trump,16,31.508347513809305,68.49165248619069
Hawaii,32.47868331668394,46.50313473760336,14.02445142091942,Kamala Harris,4,99.97726488093761,0.02273511906238923
Idaho,53.8,24.6,-29.199999999999996,Donald Trump,4,1.4388386381575914e-11,99.99999999998562
Illinois,40.29639112250511,55.00017121041279,14.703780087907674,Kamala Harris,19,99.98815147217384,0.011848527826163746
Indiana,55.010821630586165,38.296382986107524,-16.71443864447864,Donald Trump,11,0.0014664828488940504,99.99853351715112
Iowa,48.59453299490435,39.21314787829192,-9.381385116612428,Donald Trump,6,0.9504707740168277,99.04952922598316
Kansas,48.11176504636029,40.70208821050415,-7.409676835856139,Donald Trump,6,3.1982824526248526,96.80171754737515
Kentucky,51.5,29.399999999999995,-22.100000000000005,Donald Trump,8,1.6474280560818674e-06,99.99999835257194
Louisiana,50.28343442838844,35.28742417870867,-14.99601024967977,Donald Trump,8,0.008876963588043796,99.99112303641195
Maine,41.41135688718244,48.35089518264651,6.939538295464068,Kamala Harris,2,95.86193739878948,4.138062601210524
Maine CD-1,35.08953767109896,58.35172570139542,23.262188030296457,Kamala Harris,1,99.99999969782037,3.0217962576628565e-07
Maine CD-2,47.24361095767421,43.813058752326405,-3.4305522053478015,Donald Trump,1,19.554617842024985,80.445382157975
Maryland,32.5530507426011,59.002207448055216,26.449156705454115,Kamala Harris,10,99.9999999981079,1.8921086919476693e-09
Massachusetts,31.08137633795805,56.4527144113888,25.371338073430746,Kamala Harris,11,99.99999998872121,1.1278789013857704e-08
Michigan,45.761148073365696,46.45228623792074,0.6911381645550421,Kamala Harris,15,56.85896056685823,43.14103943314177
Minnesota,43.10480954796866,48.02626279315195,4.921453245183294,Kamala Harris,10,89.07194571182688,10.928054288173117
Mississippi,49.99999999999999,35.3,-14.699999999999996,Donald Trump,6,0.011892470732676136,99.98810752926732
Missouri,52.905055997855165,40.057656523502146,-12.847399474353018,Donald Trump,10,0.06594163775200536,99.934058362248
Montana,55.157275652842955,37.53232833458953,-17.624947318253426,Donald Trump,4,0.0005259098031137593,99.99947409019688
Nebraska,54.06918955482368,38.80785063110324,-15.261338923720437,Donald Trump,2,0.00679992268703292,99.99320007731298
Nebraska CD-1,49.15,44.85,-4.299999999999997,Donald Trump,1,14.118736416512911,85.88126358348708
Nebraska CD-2,41.68035054020788,49.97463569774909,8.29428515754121,Kamala Harris,1,98.09404280373435,1.9059571962656507
